1;traitement;151.63005780346822
2;insuffisance rénale;127.01143616073124
3;syndrome néphrotique;124.76296484843367
4;patient;109.87671232876713
5;urines;102.78095238095239
6;filtration glomérulaire;102.68292772529205
7;diurétiques;99.484375
8;potassium;96.855421686747
9;cours;95.76
10;hta;89.72549019607843
11;insuffisance rénale chronique;87.33333333333333
12;fonction rénale;83.45647374486914
13;sodium;77.67
14;eau;75.67441860465117
15;jour;72.66233766233766
16;calcium;72.65454545454546
17;charge;72.46296296296296
18;créatininémie;71.7457627118644
19;artère rénale;68.87794181705367
20;cause;65.8551724137931
21;protéinurie;65.85436893203884
22;kg;63.60606060606061
23;maladie rénale chronique;63.411764705882355
24;diurétiques de l' anse;62.38246814930713
25;néphropathie;62.24603174603175
26;hypercalcémie;60.79032258064516
27;insuffisance rénale terminale;60.0
28;diagnostic;57.659574468085104
29;débit de filtration glomérulaire;56.655045515251636
30;dialyse;54.3728813559322
31;diabète;52.425196850393704
32;tableau 1;52.30376252379815
33;insuffisance rénale aiguë;51.724137931034484
34;enfant;50.911764705882355
35;hyperkaliémie;50.83018867924528
36;vitamine;50.79245283018868
37;anse;48.7027027027027
38;biopsie rénale;48.53947658458541
39;créatinine;48.2962962962963
40;insuffisance cardiaque;47.152634396454395
41;pression artérielle;46.98281698566284
42;reins;46.86206896551724
43;risque;46.558375634517766
44;type 2;46.11486133050602
45;tableau 2;45.963912520913524
46;exemple;45.94444444444444
47;rénine;44.575
48;hématurie;44.44
49;transplantation rénale;44.081769551307154
50;médicaments;43.682539682539684
51;néphropathie glomérulaire;42.649900019405656
52;atteinte rénale;42.60752134291578
53;diabète de type 2;41.53671369742948
54;système rénine;41.35997382834255
55;fonction;41.1764705882353
56;sténose de l' artère rénale;40.84240751139427
57;pth;40.775
58;dialyse péritonéale;40.68070418517634
59;poids;40.256410256410255
60;protéines;39.720588235294116
61;complications;39.607594936708864
62;transplantation;39.142857142857146
63;adulte;38.75757575757576
64;objectifs;38.666666666666664
65;néphropathie diabétique;37.94003986101267
66;albumine;37.90625
67;73 m2;37.08812251687505
68;ecbu;36.625
69;dfg;36.6
70;lithiase urinaire;36.45413751658659
71;hypertension artérielle;36.20054351647121
72;infections urinaires;35.88807948061475
73;iv;34.9
74;organes;34.46875
75;per os;34.30977648619915
76;raison;33.916666666666664
77;proposition ( s ) exacte;33.60451250937503
78;âgé;32.806451612903224
79;femme;32.7
80;oedèmes;32.540983606557376
81;hypokaliémie;31.8125
82;min;31.782608695652172
83;hyponatrémie;31.774193548387096
84;âge;30.891304347826086
85;hypocalcémie;30.761904761904763
86;type 1;30.39398677853511
87;hyperparathyroïdie primaire;30.114287513701967
88;min/1;30.0
89;acidose métabolique;29.938180569177394
90;diabète de type 1;29.89482422167479
91;ara2;29.88
92;greffon;29.605263157894736
93;prise en charge;29.4375
94;maladie;29.317073170731707
95;receveur;28.59259259259259
96;calcul;27.808823529411764
97;créatininurie;27.666666666666668
98;bloqueurs du système rénine;27.572896126787427
99;hématurie macroscopique;27.538723450030087
100;kaliémie;26.857142857142858
101;aldostérone;26.821428571428573
102;glomérulaire;26.66923076923077
103;vie;26.636363636363637
104;lithiase;26.325301204819276
105;homme;25.956521739130434
106;niveau;25.903225806451612
107;mort encéphalique;25.887720845112213
108;gravité;25.863636363636363
109;progression;25.524590163934427
110;risque de complication;25.4
111;déshydratation extracellulaire;25.19256185356785
112;anticorps;24.954545454545453
113;maladie rénale;24.95037743070723
114;lithiase calcique;24.78305001127626
115;action;24.441176470588236
116;cholestérol;24.05263157894737
117;syndrome d' alport;24.0
118;maladie de goodpasture;24.0
119;mrc;23.88235294117647
120;hypovolémie;23.852941176470587
121;irc;23.805555555555557
122;acide urique;23.774437510817343
123;apports;23.69736842105263
124;vasculaires;23.67032967032967
125;anse de henle;23.5
126;semaines;22.84
127;donneur vivant;22.189475010096185
128;5 ans;22.189475010096185
129;nécrose tubulaire aiguë;22.0
130;compte;21.833333333333332
131;hémodialyse;21.814814814814817
132;risque cardiovasculaire;21.76681834323721
133;traitement de suppléance;21.666666666666668
134;infections;21.60377358490566
135;ml;21.584615384615386
136;calcémie;21.5625
137;donneur;21.38888888888889
138;urgence;20.838709677419356
139;ains;20.77777777777778
140;tableau 7;20.604512509375027
141;10 ans;20.604512509375027
142;tableau 3;20.604512509375027
143;choc;20.307692307692307
144;hta maligne;20.252298620325885
145;diagnostic étiologique;20.20827188419474
